date,open,high,low,close,volume,barCount,average
20201224  05:00:45,131.0,131.0,131.0,131.0,0,0,131.0
20201224  05:01:00,131.0,131.0,131.0,131.0,0,0,131.0
20201224  05:01:15,131.0,131.0,131.0,131.0,0,0,131.0
20201224  05:01:30,131.0,131.0,131.0,131.0,0,0,131.0
20201224  05:01:45,131.0,131.0,131.0,131.0,0,0,131.0
20201224  05:02:00,131.01,131.02,131.0,131.02,8,3,131.013
20201224  05:02:15,131.02,131.02,131.02,131.02,0,0,131.02
20201224  05:02:30,131.02,131.02,131.02,131.02,0,0,131.02
20201224  05:02:45,131.02,131.02,131.02,131.02,0,0,131.02
20201224  05:03:00,131.02,131.02,131.02,131.02,0,0,131.02
20201224  05:03:15,131.02,131.02,131.02,131.02,0,0,131.02
20201224  05:03:30,131.02,131.02,131.02,131.02,0,0,131.02
20201224  05:03:45,131.02,131.02,131.02,131.02,0,0,131.02
20201224  05:04:00,131.02,131.02,131.02,131.02,0,0,131.02
20201224  05:04:15,131.02,131.02,131.02,131.02,0,0,131.02
20201224  05:04:30,131.02,131.02,131.02,131.02,0,0,131.02
20201224  05:04:45,131.02,131.02,131.02,131.02,0,0,131.02
20201224  05:05:00,131.02,131.02,131.02,131.02,0,0,131.02
20201224  05:05:15,131.02,131.02,131.02,131.02,0,0,131.02
20201224  05:05:30,131.02,131.02,131.02,131.02,0,0,131.02
20201224  05:05:45,131.02,131.02,131.02,131.02,0,0,131.02
20201224  05:06:00,131.02,131.02,131.02,131.02,0,0,131.02
20201224  05:06:15,131.02,131.02,131.02,131.02,0,0,131.02
20201224  05:06:30,131.02,131.02,131.02,131.02,0,0,131.02
20201224  05:06:45,131.02,131.02,131.02,131.02,0,0,131.02
20201224  05:07:00,131.0,131.0,131.0,131.0,1,1,131.0
20201224  05:07:15,131.0,131.0,131.0,131.0,0,0,131.0
20201224  05:07:30,131.0,131.0,131.0,131.0,0,0,131.0
20201224  05:07:45,131.0,131.0,131.0,131.0,0,0,131.0
20201224  05:08:00,131.0,131.0,131.0,131.0,0,0,131.0
20201224  05:08:15,131.0,131.0,131.0,131.0,0,0,131.0
20201224  05:08:30,131.0,131.0,131.0,131.0,0,0,131.0
20201224  05:08:45,131.0,131.0,131.0,131.0,0,0,131.0
20201224  05:09:00,131.0,131.0,131.0,131.0,0,0,131.0
20201224  05:09:15,131.0,131.0,131.0,131.0,0,0,131.0
20201224  05:09:30,131.0,131.0,131.0,131.0,0,0,131.0
20201224  05:09:45,131.0,131.0,131.0,131.0,0,0,131.0
20201224  05:10:00,131.0,131.0,131.0,131.0,0,0,131.0
20201224  05:10:15,131.0,131.0,131.0,131.0,0,0,131.0
20201224  05:10:30,131.0,131.0,131.0,131.0,0,0,131.0
20201224  05:10:45,131.0,131.0,131.0,131.0,0,0,131.0
20201224  05:11:00,131.0,131.0,131.0,131.0,0,0,131.0
20201224  05:11:15,131.0,131.0,131.0,131.0,0,0,131.0
20201224  05:11:30,131.0,131.0,131.0,131.0,0,0,131.0
20201224  05:11:45,131.0,131.0,131.0,131.0,0,0,131.0
20201224  05:12:00,131.0,131.0,131.0,131.0,0,0,131.0
20201224  05:12:15,131.0,131.0,131.0,131.0,0,0,131.0
20201224  05:12:30,131.0,131.0,131.0,131.0,0,0,131.0
20201224  05:12:45,131.0,131.0,131.0,131.0,0,0,131.0
20201224  05:13:00,131.0,131.0,131.0,131.0,0,0,131.0
20201224  05:13:15,131.0,131.0,131.0,131.0,0,0,131.0
20201224  05:13:30,131.0,131.0,131.0,131.0,0,0,131.0
20201224  05:13:45,131.0,131.0,131.0,131.0,0,0,131.0
20201224  05:14:00,131.0,131.0,131.0,131.0,0,0,131.0
20201224  05:14:15,131.0,131.0,131.0,131.0,0,0,131.0
20201224  05:14:30,131.0,131.0,131.0,131.0,0,0,131.0
